Gioi tinh,Dan toc,Trinh do hoc van cua bo me,Dinh duong,Khoa on thi,Toan ,Van,Anh
1,2,4,1,0,72,72,74
1,3,3,1,1,69,90,88
1,2,5,1,0,90,95,93
2,1,1,2,0,47,57,44
2,3,3,1,0,76,78,75
1,2,1,1,0,71,83,78
1,2,3,1,1,88,95,92
2,2,3,2,0,40,43,39
2,4,2,2,1,64,64,67
1,2,2,2,0,38,60,50
2,3,1,1,0,58,54,52
2,4,1,1,0,40,52,43
1,2,2,1,0,65,81,73
2,1,3,1,1,78,72,70
1,1,5,1,0,50,53,58
1,3,2,1,0,69,75,78
2,3,2,1,0,88,89,86
1,2,2,2,0,18,32,28
2,3,5,2,1,46,42,46
1,3,1,2,0,54,58,61
2,4,2,1,0,66,69,63
1,2,3,2,1,65,75,70
2,4,3,1,0,44,54,53
1,3,2,1,0,69,73,73
2,4,4,2,1,74,71,80
2,1,5,2,0,73,74,72
2,2,3,1,0,69,54,55
1,3,4,1,0,67,69,75
2,3,2,1,0,70,70,65
1,4,5,1,0,62,70,75
1,4,3,1,0,69,74,74
1,2,3,1,0,63,65,61
1,5,5,2,0,56,72,65
2,4,3,1,0,40,42,38
2,5,3,1,0,97,87,82
2,5,1,1,1,81,81,79
1,4,1,1,0,74,81,83
1,4,2,2,0,50,64,59
1,4,1,2,1,75,90,88
2,2,1,2,0,57,56,57
2,3,1,2,0,55,61,54
1,3,1,1,0,58,73,68
1,2,1,1,0,53,58,65
2,2,3,2,1,59,65,66
1,5,1,2,0,50,56,54
2,2,1,1,0,65,54,57
1,1,1,1,1,55,65,62
1,3,2,1,0,66,71,76
1,4,1,2,1,57,74,76
2,3,2,1,1,82,84,82
2,5,3,1,0,53,55,48
2,5,1,2,1,77,69,68
2,3,3,1,0,53,44,42
2,4,2,1,0,88,78,75
1,3,2,2,1,71,84,87
1,3,2,2,0,33,41,43
1,5,1,1,1,82,85,86
2,4,1,1,0,52,55,49
2,4,3,1,1,58,59,58
1,3,2,2,0,0,17,10
2,5,4,2,1,79,74,72
2,1,2,2,0,39,39,34
2,1,1,2,0,62,61,55
1,3,1,1,0,69,80,71
1,4,2,1,0,59,58,59
2,2,2,1,0,67,64,61
2,4,2,2,0,45,37,37
1,3,3,1,0,60,72,74
2,2,1,2,0,61,58,56
1,3,1,1,0,39,64,57
1,4,3,2,1,58,63,73
2,4,3,1,1,63,55,63
1,1,1,2,0,41,51,48
2,3,2,2,0,61,57,56
2,3,2,1,0,49,49,41
2,2,1,2,0,44,41,38
2,5,2,1,0,30,26,22
2,1,4,1,1,80,78,81
1,4,2,1,1,61,74,72
1,5,5,1,0,62,68,68
1,2,1,1,0,47,49,50
2,2,2,2,0,49,45,45
2,1,3,2,1,50,47,54
2,5,1,1,0,72,64,63
2,4,2,2,0,42,39,34
1,3,3,1,0,73,80,82
1,3,3,2,0,76,83,88
1,4,1,1,0,71,71,74
1,1,3,1,0,58,70,67
1,4,2,1,0,73,86,82
1,3,4,1,0,65,72,74
2,3,2,2,0,27,34,36
2,3,2,1,0,71,79,71
2,3,1,2,1,43,45,50
1,2,3,1,0,79,86,92
2,3,1,2,1,78,81,82
2,2,2,1,1,65,66,62
1,5,3,1,1,63,72,70
1,4,3,2,0,58,67,62
