Rui_ro,Nguyen_Lieu,So_cua,chieu_dai,Chieu_rong,Chieu_cao,Can_nang,Kich_thuoc,Ma_luc,Vong_tua,Gia
-1,1,4,188.8,68.9,55.5,2952,141,114,5400,16845
2,1,4,176.6,66.2,54.3,2337,109,102,5500,13950
0,1,4,198.9,68.4,56.7,3285,120,95,5000,16695
3,1,2,168.9,68.3,50.2,2778,151,143,5500,22018
0,1,4,177.8,66.5,55.5,2443,122,64,4650,10795
1,1,2,159.1,64.2,54.1,1905,91,68,5000,6795
-1,1,4,175.6,66.5,54.9,2414,122,92,4200,10898
2,1,2,144.6,63.9,50.8,1819,92,76,6000,6855
1,1,2,157.3,63.8,50.8,1918,90,68,5500,5572
-2,1,4,188.8,67.2,56.2,2935,141,114,5400,15985
1,1,2,157.3,63.8,50.8,2128,98,102,5500,7957
-1,1,4,188.8,68.8,55.5,3049,141,160,5300,19045
1,1,2,165.3,63.8,54.5,1889,97,69,5200,5499
3,1,2,169,65.7,49.6,2380,70,101,6000,10945
0,1,2,167.5,65.2,53.3,2289,110,86,5800,9095
0,2,4,186.7,68.4,56.7,3197,152,95,4150,13200
0,1,4,157.1,63.9,58.3,2024,92,76,6000,7295
-1,1,4,188.8,67.2,57.5,3034,141,114,5400,13415
0,1,4,166.3,64.4,52.8,2109,98,70,4800,7198
-1,1,4,190.9,70.3,56.5,3515,183,123,4350,25552
1,1,2,178.5,67.9,49.7,3139,181,160,5200,18399
1,1,2,158.7,63.6,54.5,1985,92,62,4800,5348
-2,1,4,188.8,67.2,56.2,3045,130,162,5100,18420
0,1,4,197,70.9,56.3,3505,209,182,5400,36880
0,1,4,172,65.4,54.3,2385,108,82,4800,9233
0,1,4,163.4,64,54.5,2010,92,76,6000,7295
3,1,2,173.2,66.3,50.2,2818,156,145,5000,12764
0,1,4,170.7,61.8,53.5,2337,111,78,4800,6785
3,1,2,173.2,66.3,50.2,2811,156,145,5000,12964
3,1,2,173.2,66.3,50.2,2833,156,145,5000,12629
1,1,2,165.3,63.8,54.5,1918,97,69,5200,6649
1,1,2,158.7,63.6,54.5,2040,92,62,4800,6338
1,1,2,155.9,63.6,52,1874,90,70,5400,8916.5
1,1,4,165.3,63.8,54.5,1938,97,69,5200,6849
1,1,2,150,64,52.6,1956,92,76,6000,7129
0,1,4,186.7,68.3,56,3130,134,142,5600,18150
2,2,2,171.7,65.5,55.7,2261,97,52,4800,7775
1,1,4,170.2,63.8,53.5,2037,97,69,5200,7999
-1,2,4,175.6,66.5,54.9,2480,110,73,4500,10698
0,1,4,166.3,64.4,53,2081,98,70,4800,6938
-1,1,4,188.8,68.9,55.5,3062,141,114,5400,22625
2,1,2,176.2,65.6,52,2540,146,116,4800,8449
0,1,2,167.5,65.2,53.3,2236,110,86,5800,7895
-1,1,4,188.8,67.2,57.5,3157,130,162,5100,18950
2,1,2,162.4,63.8,53.3,2008,97,69,5200,8249
0,1,4,175,66.1,54.4,2670,140,120,5000,18280
3,1,2,173.2,66.3,50.2,2921,156,145,5000,14869
2,1,2,157.3,64.4,50.8,2004,92,68,5500,6669
-1,1,4,187.8,66.5,54.1,3151,161,156,5200,15750
0,1,4,166.3,64.4,53,2094,98,70,4800,7738
1,1,2,168.7,64,52.6,2265,98,112,6600,9298
2,1,2,171.7,65.5,55.7,2209,109,85,5250,7975
0,1,4,176.8,64.8,54.3,2395,108,101,5800,16925
2,1,2,156.9,63.4,53.7,2050,97,69,4900,5118
1,1,2,157.3,63.8,50.8,1876,90,68,5500,5572
3,1,2,170.7,67.9,49.7,3071,181,160,5200,17199
-1,1,4,172.4,65.4,51.6,2403,110,116,5500,9279
0,1,4,172,65.4,52.5,2145,108,82,4800,7126
2,1,4,171.7,65.5,55.7,2300,109,100,5500,9995
0,2,4,166.3,64.4,53,2275,110,56,4500,7898
1,1,2,165.3,63.8,54.5,1951,97,69,5200,7299
3,1,2,159.3,64.2,55.6,2254,109,90,5500,11595
-1,1,4,174.6,64.6,59.8,2535,122,88,5000,8921
-1,1,4,174.6,64.6,59.8,2535,122,88,5000,8921
2,1,4,186.6,66.5,56.1,2847,121,160,5500,18620
0,1,4,172,65.4,54.3,2510,108,111,4800,11259
2,1,2,157.9,63.6,53.7,2120,108,73,4400,7053
1,1,4,170.2,63.8,53.5,2024,97,69,5200,7349
0,1,4,177.8,66.5,55.5,2425,122,84,4800,11245
3,1,2,186.6,66.5,56.1,2808,121,160,5500,18150
0,1,4,172,65.4,52.5,2340,108,94,5200,9960
0,1,4,183.1,66.9,55.1,2563,109,88,5500,12290
1,1,4,172.4,65.4,51.6,2405,122,88,5000,8189
3,1,2,168.9,65,51.6,2756,194,207,5900,34028
3,1,2,180.3,70.5,50.8,3685,234,155,4750,35056
1,1,4,157.3,63.8,50.6,1989,90,68,5500,7609
0,1,4,181.7,66.5,55.1,3095,181,152,5200,13499
3,1,2,168.8,64.1,48.8,2548,130,111,5000,16500
1,1,4,189,66.9,55.7,3055,164,121,4250,24565
3,1,2,173.2,66.3,50.2,2926,156,145,5000,14489
1,1,4,172.4,65.4,51.6,2403,110,116,5500,9279
1,1,2,159.1,64.2,54.1,1900,91,68,5000,6095
0,1,4,208.1,71.7,56.7,3900,308,184,4500,40960
1,1,2,171.2,65.5,52.4,2823,152,154,5000,16500
1,1,4,167.3,63.8,50.8,2191,98,68,5500,7609
1,1,2,159.1,64.2,54.1,1890,91,68,5000,5195
1,1,2,157.3,63.8,50.8,2128,98,102,5500,7957
0,2,4,180.2,66.9,55.1,2579,97,68,4500,13845
0,2,4,186.7,68.4,56.7,3252,152,95,4150,17950
-1,1,4,188.8,68.9,55.5,3012,173,134,5500,21485
1,1,2,150,64,52.6,1837,79,60,5500,5399
0,1,4,198.9,68.4,58.7,3230,120,97,5000,12440
0,1,4,158.8,63.6,52,1909,90,70,5400,6575
0,1,4,199.6,69.6,52.8,4066,258,176,4750,32250
0,1,2,176.8,64.8,54.3,2710,164,121,4250,20970
2,1,2,176.2,65.6,52,2551,146,116,4800,9989
2,1,2,177.3,66.3,53.1,2507,136,110,5500,15250
1,1,4,192.7,71.4,55.7,2844,136,110,5500,17710
2,1,2,157.3,64.4,50.8,1944,92,68,5500,6189
0,1,4,173.4,65.2,54.7,2324,120,97,5200,8949
0,1,4,166.3,64.4,52.8,2140,98,70,4800,9258
-1,1,4,190.9,70.3,58.7,3750,183,123,4350,28248
1,1,2,165.6,63.8,53.3,2028,97,69,5200,7799
0,1,4,176.8,64.8,54.3,2765,164,121,4250,21105
3,1,2,173,65.4,49.4,2370,110,116,5500,9959
0,1,4,172,65.4,52.5,2190,108,82,4400,7775
-1,2,4,188.8,68.9,55.5,3217,145,106,4800,22470
-1,1,4,187.8,66.5,54.1,3131,171,156,5200,15690
0,1,2,178.2,67.9,52,3053,131,160,5500,17859.167
-1,1,4,202.6,71.7,56.3,3770,183,123,4350,31600
0,1,4,175.4,65.2,54.1,2304,110,86,5800,8845
0,1,4,184.6,66.5,56.1,3296,181,152,5200,14399
2,1,2,157.3,63.8,55.7,2240,108,73,4400,7603
3,1,2,165.7,64,51.4,2221,109,90,5500,9980
2,1,4,171.7,65.5,55.7,2212,109,85,5250,8195
3,1,2,169,65.7,49.6,2385,70,101,6000,13645
1,1,2,157.3,63.8,50.8,1876,90,68,5500,6377
0,1,4,173.4,65.2,54.7,2302,120,97,5200,9549
0,1,4,169.7,63.6,59.1,2290,92,62,4800,7898
3,1,2,169,65.7,49.6,2500,80,135,6000,15645
2,1,2,176.2,65.6,52,2679,146,116,4800,11199
1,1,4,165.3,63.8,54.5,1971,97,69,5200,7499
0,1,4,166.3,64.4,52.8,2122,98,70,4800,8358
3,1,2,183.5,67.7,52,3016,171,161,5200,15998
1,1,4,172.4,65.4,51.6,2365,122,88,5000,6989
2,1,2,176.2,65.6,53,2975,146,116,4800,17669
-1,1,4,175.6,66.5,53.9,2414,122,92,4200,9988
2,1,2,172.6,65.2,51.4,2734,119,90,5000,11048
3,1,2,186.6,66.5,56.1,2707,121,110,5250,15040
